Date,Particulars,Buyer/Supplier,Buyer/Supplier Address,Consignee/Party,Consignee/Party Address,Voucher Type,Voucher No.,Voucher Ref. No.,Voucher Ref. Date,GSTIN/UIN,PAN No.,Narration,Value,Gross Total,26-27 MEMBERSHIP FEES,Central Goods and Service Tax,State Goods and Service Tax,Integrated Goods and Service Tax,27-28 MEMBERSHIP FEE,28-29 MEMBERSHIP FEE,ONE TIME ENTRANCE FEES
08-Jul-26,PUNE CARBIDE,PUNE CARBIDE,Pune-411042,PUNE CARBIDE,Pune-411005,Sales,5430,MBK3000030,08-Jul-26,27UQTYF1333Z3,GMCYM5198,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000030 MEMBERSHIP -IA-7873,35400.0,30000,30000,2700.0,2700.0,0,0,0,0
28-Jul-26,ADVIK HI TECH PRIVATE LIM ITED,ADVIK HI TECH PRIVATE LIM ITED,Pune-411015,ADVIK HI TECH PRIVATE LIM ITED,Pune-411056,Sales,5400,MBK3000000,28-Jul-26,27CHQJJ4432Z5,SRBQN5010,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000000 MEMBERSHIP -IA-11476,11800.0,10000,10000,900.0,900.0,0,0,0,0
13-Jul-26,Sunhim ecommerce,Sunhim ecommerce,Pune-411036,Sunhim ecommerce,Pune-411054,Sales,5422,MBK3000022,13-Jul-26,27AHLPR8618Z8,LFMXU3780,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000022 MEMBERSHIP -IA-10863,29500.0,25000,25000,2250.0,2250.0,0,0,0,0
20-Jul-26,KIRLOSKAR EBARA PUMPS LIMITED,KIRLOSKAR EBARA PUMPS LIMITED,Pune-411039,KIRLOSKAR EBARA PUMPS LIMITED,Pune-411048,Sales,5431,MBK3000031,20-Jul-26,27SUEIP6111Z7,KSBRQ2669,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000031 MEMBERSHIP -IA-4611,14160.0,12000,12000,1080.0,1080.0,0,0,0,0
28-Jul-26,Pixaflip Technologies Private Limited,Pixaflip Technologies Private Limited,Pune-411048,Pixaflip Technologies Private Limited,Pune-411052,Sales,5418,MBK3000018,28-Jul-26,27GESJB8711Z4,FXJVW4652,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000018 MEMBERSHIP -IA-2535,88500.0,75000,75000,6750.0,6750.0,0,0,0,0
26-Jul-26,Abhishan Logistics,Abhishan Logistics,Pune-411039,Abhishan Logistics,Pune-411015,Sales,5428,MBK3000028,26-Jul-26,27MHMKR7624Z3,VXZNX1444,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000028 MEMBERSHIP -IA-12490,59000.0,50000,50000,4500.0,4500.0,0,0,0,0
16-Jul-26,RADHA ENTERPRISES,RADHA ENTERPRISES,Pune-411031,RADHA ENTERPRISES,Pune-411014,Sales,5410,MBK3000010,16-Jul-26,27WXEAK8454Z5,KYZOS3536,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000010 MEMBERSHIP -IA-12087,41300.0,35000,35000,3150.0,3150.0,0,0,0,0
04-Jul-26,Caxyzen Labs Private Limited,Caxyzen Labs Private Limited,Pune-411023,Caxyzen Labs Private Limited,Pune-411028,Sales,5470,MBK3000070,04-Jul-26,27CRPNI4612Z7,ZBFYT5186,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000070 MEMBERSHIP -IA-11133,59000.0,50000,50000,4500.0,4500.0,0,0,0,0
01-Jul-26,Magna Automotive India Private Limited,Magna Automotive India Private Limited,Pune-411047,Magna Automotive India Private Limited,Pune-411057,Sales,5404,MBK3000004,01-Jul-26,27SZTNC5889Z9,PDTOU9689,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000004 MEMBERSHIP -IA-5506,53100.0,45000,45000,4050.0,4050.0,0,0,0,0
31-Jul-26,Harnex Systems Private Limited,Harnex Systems Private Limited,Pune-411057,Harnex Systems Private Limited,Pune-411037,Sales,5412,MBK3000012,31-Jul-26,27GPQKP9565Z6,YFSGK5915,BILL RAISED TOWARDS MEMBERSHIP FEE FOR YEAR:2026-2027. BOOKING NO -MBK3000012 MEMBERSHIP -IA-9935,11800.0,10000,10000,900.0,900.0,0,0,0,0
