txn_date,txn_id,amount,narration,currency
09-10-2024,TXN246316,999,UPI/TXN246316/ManishJoshi,INR
19-10-2024,TXN974628,999,UPI/TXN974628/PriyaVerma,INR
08-10-2024,TXN232352,2499,UPI/TXN232352/Unknown,INR
07-10-2024,TXN465962,4999,UPI/TXN465962/PriyaVerma,INR
05-10-2024,TXN260263,9999,UPI/TXN260263/RaviMenon,INR
19-10-2024,TXN810250,2499,UPI/TXN810250/Unknown,INR
05-10-2024,TXN385577,1999,UPI/TXN385577/RaviMenon,INR
23-10-2024,TXN368690,1999,UPI/TXN368690/Unknown,INR
27-10-2024,TXN287330,9999,UPI/TXN287330/KavitaMehta,INR
27-10-2024,TXN542042,999,UPI/TXN542042/RaviMenon,INR
30-10-2024,TXN795613,999,UPI/TXN795613/AnitaDesai,INR
04-10-2024,TXN831059,1999,UPI/TXN831059/Unknown,INR
03-11-2024,TXN665492,4999,UPI/TXN665492/AmitPatel,INR
20-10-2024,TXN407419,4999,UPI/TXN407419/PoojaReddy,INR
31-10-2024,TXN426147,999,UPI/TXN426147/Unknown,INR
30-10-2024,TXN642717,2499,UPI/TXN642717/PoojaReddy,INR
12-10-2024,TXN774079,9999,UPI/TXN774079/SnehaIyer,INR
21-10-2024,TXN765822,1999,UPI/TXN765822/AmitPatel,INR
28-10-2024,TXN593554,9999,UPI/TXN593554/VikramRao,INR
21-10-2024,TXN338968,4999,UPI/TXN338968/AnitaDesai,INR
21-10-2024,TXN557239,4999,UPI/TXN557239/PriyaVerma,INR
03-10-2024,TXN132938,999,UPI/TXN132938/AnitaDesai,INR
22-10-2024,TXN219946,4999,UPI/TXN219946/Unknown,INR
04-10-2024,TXN915573,1499,UPI/TXN915573/Unknown,INR
12-10-2024,TXN830429,2499,UPI/TXN830429/ArjunNair,INR
03-10-2024,TXN720859,9999,UPI/TXN720859/Unknown,INR
29-10-2024,TXN694916,1999,UPI/TXN694916/PriyaVerma,INR
27-10-2024,TXN757711,1499,UPI/TXN757711/Unknown,INR
29-10-2024,TXN294851,1499,UPI/TXN294851/SureshKumar,INR
10-10-2024,TXN883300,1499,UPI/TXN883300/AmitPatel,INR
16-10-2024,TXN539375,2499,UPI/TXN539375/ManishJoshi,INR
04-10-2024,TXN103717,989,UPI/TXN103717/RaviMenon,INR
01-11-2024,TXN161324,1499,UPI/TXN161324/ManishJoshi,INR
30-10-2024,TXN161483,2499,UPI/TXN161483/AmitPatel,INR
19-10-2024,TXN142213,4999,UPI/TXN142213/RahulSharma,INR
08-10-2024,TXN555884,1999,UPI/TXN555884/ManishJoshi,INR
29-10-2024,TXN669605,1999,UPI/TXN669605/RaviMenon,INR
19-10-2024,TXN126925,1999,UPI/TXN126925/Unknown,INR
13-10-2024,TXN849747,1499,UPI/TXN849747/Unknown,INR
15-10-2024,TXN482364,1549,UPI/TXN482364/AnitaDesai,INR
23-10-2024,TXN413118,999,UPI/TXN413118/AnitaDesai,INR
01-10-2024,TXN751517,1499,UPI/TXN751517/Unknown,INR
01-11-2024,TXN871711,1999,UPI/TXN871711/PoojaReddy,INR
09-10-2024,TXN201639,1499,UPI/TXN201639/AnitaDesai,INR
19-10-2024,TXN377370,2499,UPI/TXN377370/PriyaVerma,INR
31-10-2024,TXN328552,2499,UPI/TXN328552/Unknown,INR
28-10-2024,TXN270395,4999,UPI/TXN270395/RaviMenon,INR
16-10-2024,TXN752483,9999,UPI/TXN752483/AnitaDesai,INR
02-11-2024,TXN890170,9999,UPI/TXN890170/PriyaVerma,INR
06-10-2024,TXN735324,4999,UPI/TXN735324/Unknown,INR
15-10-2024,TXN617488,2499,UPI/TXN617488/ArjunNair,INR
26-10-2024,TXN997546,2499,UPI/TXN997546/AmitPatel,INR
18-10-2024,TXN680828,1499,UPI/TXN680828/PriyaVerma,INR
09-10-2024,TXN246316,999,UPI/TXN246316/ManishJoshi,INR
18-10-2024,TXN238739,1499,UPI/TXN238739/PriyaVerma,INR
01-11-2024,TXN771088,1499,UPI/TXN771088/SureshKumar,INR
03-10-2024,TXN335113,1999,UPI/TXN335113/SnehaIyer,INR
16-10-2024,TXN612340,4999,UPI/TXN612340/DeepakSingh,INR
29-10-2024,TXN697347,9999,UPI/TXN697347/AnitaDesai,INR
31-10-2024,TXN884256,9999,UPI/TXN884256/Unknown,INR
13-10-2024,TXN918011,1499,UPI/TXN918011/RaviMenon,INR
